,address,chinese_company_name,company_name,district,email,fax,placement_type,telephone,valid_license
10,"Unit 806, 8th floor, Arion Commercial Centre, 22 Queen's Road West, Sheung Wan, Hong Kong",None,EIGHT OAK LIMITED,Central and Western District,joel@eightoak.com,None,Office Staff / Executive Search,98286422,2019
11,"Unit 1010-1015, 10th floor, Tower B, New Mandarin Plaza, Tsim Sha Tsui East, Kowloon",None,Same Page Recruitment Co,Yau Tsim Mong District,priscillaslc@yahoo.com.hk,30073351,Office Staff / Executive Search,35848226,2019
12,"Suite 608-9, 6th floor, Whart T&T Centre, Harbour City, Tsim Sha Tsui, Kowloon",None,Impelligence Limited,Yau Tsim Mong District,danny.leung@impelligence.com,,Office Staff / Executive Search,98660957,2019
13,"Room 2, 6th floor, Lemmi Centre, 50 Hoi Yuen Road, Kwun Tong, Kowloon",None,"BLOOM OF YOUTH CO., LIMITED",Kwun Tong District,info@thebloomofyouth.com,None,"Office Staff / Executive Search, Other Non-office Worker",35822092,2019
14,"Unit E, 22nd floor, Wing Cheong Commercial Building, 23 Jervois Street, Sheung Wan, Hong Kong",None,Sunny Time Manpower Agency,Central and Western District,None,None,Foreign Domestic Helpers,97260627,2019
15,"Unit A, 22nd floor, Wing Cheong Commercial Building, 23 Jervois Street, Sheung Wan, Hong Kong",None,Good Day Manpower Agency,Central and Western District,None,None,Foreign Domestic Helpers,92980598,2019
16,"Level 7, K11 Atelier Victoria Dockside, 18 Salisbury Road, Tsim Sha Tsui, Kowloon",None,Techlinker Asia Limited,Yau Tsim Mong District,roy.fung@techlinker.asia,26092189,Office Staff / Executive Search,31666140,2019
17,"Unit 1102, 11th floor, 29 Austin Road, Tsim Sha Tsui, Kowloon",None,SUCCESSFUL CONSULTANTS LIMITED,Yau Tsim Mong District,caroline@successcl.com,None,Office Staff / Executive Search,55095110,2019
18,"Room 808, 8th floor, Ocean Centre, 5 Canton Road, Tsim Sha Tsui, Kowloon",None,PEOPLE TECHNOLOGY (INTERNATIONAL) LIMITED,Yau Tsim Mong District,recruit@peopletech.hk,None,"Office Staff / Executive Search, Other Non-office Worker",38913000,2019
19,"Unit 2001, 20th floor, Ruttonjee House, Ruttonjee Centre, 11 Duddell Street, Central, Hong Kong",None,Resources Global Professionals (RGP) Executive Search Hong Kong,Central and Western District,None,None,Office Staff / Executive Search,None,2019
20,"Room 2013, 20th floor, V Point, 18 Tang Lung Street, Causeway Bay, Hong Kong",None,EC Talent Search Limited,Wan Chai District,tiffanie.tang@ectalenthk.com,37183555,"Office Staff / Executive Search, Imported Worker, Other Non-office Worker",27183666,2019
21,"Room 606, 6th floor, Genplas Industrial Building, 56 Hoi Yuen Road, Kwun Tong, Kowloon",None,ALL PROFIT ALLIANCE LIMITED,Kwun Tong District,hr@yesmaster.com.hk,None,Office Staff / Executive Search,36202109,2019
22,"Flat A, 16th floor, Tower 8, The Hermitage, 1 Hoi Wang Road, Tai Kok Tsui, Kowloon",None,Helper Genie,Yau Tsim Mong District,helpergenie@gmail.com,None,"Local Domestic Helpers, Foreign Domestic Helpers",57405884,2019
23,"Flat 1003, 10th floor, Block 2, China Hong Kong City, 33 Canton Road, Tsim Sha Tsui, Kowloon",None,Antnergy Social Resources,Yau Tsim Mong District,samantha.chan@antnergy.org,None,Office Staff / Executive Search,92334525,2019
24,"Flat 52A, 6th floor, Grand Building, 52 Granville Road, Tsim Sha Tsui, Kowloon",None,True Search Limited,Yau Tsim Mong District,kannan@truerecruitmentasia.com,None,"Office Staff / Executive Search, Imported Worker",None,2019
25,"Shop E, Ground floor, 117-119 Shau Kei Wan Road, Sai Wan Ho, Hong Kong",None,TOP VARIANT LIMITED,Eastern District,tong2383@yahoo.com,,Foreign Domestic Helpers,,2019
26,"Unit 05, 11th floor, Hollywood Plaza, 610 Nathan Road, Mong Kok, Kowloon",None,FIORI MEGA STAR EMPLOYMENT AGENCY LIMITED,Yau Tsim Mong District,abilityhongkong@gmail.com,36189096,Foreign Domestic Helpers,68161280,2019
27,"Room 133, 48th floor, Lee Garden One, 33 Hysan Avenue, Causeway Bay, Hong Kong",None,KINGFISHER EXECUTIVE SEARCH (HK) LIMITED,Wan Chai District,adminhk@kingfisherchina.com,None,Office Staff / Executive Search,31691949,2019
28,"Unit 3B, 86 Victoria Road, Kennedy Town, Hong Kong",None,HAMILTON ALEXANDER LIMITED,Central and Western District,ROB1SHAW@HOTMAIL.COM,None,Office Staff / Executive Search,98556935,2019
29,"Room 1501, 15th floor, 38 Plaza, 38 Shan Tung Street, Mong Kok, Kowloon",None,G&S Executive Search International,Yau Tsim Mong District,None,None,Office Staff / Executive Search,None,2019
30,"22nd floor, 3 Lockhart Road, Wan Chai, Hong Kong",None,Bray Lloyd Asia Limited,Wan Chai District,richard@richardalfielee.com,None,Office Staff / Executive Search,37987752,2019
31,"Suite 1628A, 16th floor, Star House, 3 Salisbury Road, Tsim Sha Tsui, Kowloon",None,BabeKiss HR,Yau Tsim Mong District,hr.ea@babekiss.net,None,"Office Staff / Executive Search, Other Non-office Worker",29499955,2019
32,"Room 701, 7th floor, Tower 2, Silvercord, 30 Canton Road, Tsim Sha Tsui, Kowloon",None,ALEXANDER HUNT INTERNATIONAL LIMITED,Yau Tsim Mong District,info@alexander-hunt.com,None,Office Staff / Executive Search,36753631,2019
33,"Unit C, 22nd floor, Thomson Commercial Building, 8 Thomson Road, Wan Chai, Hong Kong",None,Hong Kong Executive Search,Wan Chai District,hkes@hkes.net,25813352,Office Staff / Executive Search,25328338,2019
34,"Room 34, 4th floor, Beverley Commercial Centre, 87-105 Chatham Road South, Tsim Sha Tsui, Kowloon",None,WeConnect Consulting Limited,Yau Tsim Mong District,info@weconnectconsulting.com,None,Office Staff / Executive Search,38950979,2019
35,"Level 11, Lee Garden One, 33 Hysan Ave, Causeway Bay, Hong Kong",None,HR Partner Asia Limited,Wan Chai District,info@hrpartnerasia.com,None,"Office Staff / Executive Search, Other Non-office Worker",34806330,2019
36,"Flat 2001, 20th floor, Wing Tuck Commercial Centre, 183 Wing Lok Street, Sheung Wan, Hong Kong",None,MEGADIME CONSULTANT,Central and Western District,megadimeconsultant@ymail.com,None,"Local Domestic Helpers, Foreign Domestic Helpers",95256854,2019
37,"Shop 2062, 2nd floor, INCITI Kar Shing Building, 15-19 Kau Yuk Road, Yuen Long, New Territories",None,Carina Mega Star Limited,Yuen Long District,hoyip2009@yahoo.com.hk,36150181,"Local Domestic Helpers, Foreign Domestic Helpers, Imported Worker",39562114,2019
38,"Unit B, 12th floor, Hang Seng Causeway Bay Building, 28 Yee Wo Street, Causeway Bay, Hong Kong",None,CERTUS GLOBAL NETWORK LIMITED,Wan Chai District,hr@certusgn.com,None,Office Staff / Executive Search,35750823,2019
39,"6th floor, The Rays, 71 Hung To Road, Kwun Tong, Kowloon",None,LF Global Search,Kwun Tong District,jeslynkoh06@gmail.com,None,Office Staff / Executive Search,92840338,2019
40,"5th floor, International Trade Tower, 348 Kwun Tong Road, Ngau Tau Kok, Kowloon",None,Tricor Staffing Solutions Limited,Kwun Tong District,enquiry.tss@hk.tricorglobal.com,25415282,Office Staff / Executive Search,29800005,2019
41,"Shop 100A, Ground floor, Chung King Mansion, 36-44 Nathan Road, Tsim Sha Tsui, Kowloon",None,DANIEL EMPLOYMENT AGENCY,Yau Tsim Mong District,gurungsuraj111@gmail.com,None,"Local Domestic Helpers, Foreign Domestic Helpers",63470708,2019
42,"Room 509, 5th floor, APEC Plaza, 49 Hoi Yuen Road, Kwun Tong, Kowloon",None,jobbank Hong Kong,Kwun Tong District,guanpeng@ga-asia.com,None,Office Staff / Executive Search,36187027,2019
43,"Office 4, 10th floor, Kwan Chart Tower, 6 Tonnochy Road, Wan Chai, Hong Kong",None,Spire Executive Limited,Wan Chai District,richard@spirexec.com,None,Office Staff / Executive Search,92425537,2019
44,"12th floor, Po Yip Building, 23 Hing Yip Street, Kwun Tong, Kowloon",None,Turbine Recruitment Limited,Kwun Tong District,dc_chiu@hotmail.com,None,Office Staff / Executive Search,93091218,2019
45,"Level 35, Two Pacific Place, No. 88 Queensway, Admiralty, Hong Kong",None,The Bund International Limited,Central and Western District,info@thebundinternational.com,22187501,Office Staff / Executive Search,26277598,2019
46,"23rd floor, One Taikoo Place, 979 King's Road, Quarry Bay, Hong Kong",None,Barracuda Search Asia Limited,Eastern District,maxholdsworth@barracudasearch.com,None,Office Staff / Executive Search,95478883,2019
47,"Room 1612, 16th floor, Hong Kong Plaza, 188 Connaught Road West, Sai Wan, Hong Kong",None,ROSE PM,Central and Western District,HELLO@ROSE-PM.COM,None,Office Staff / Executive Search,95448991,2019
48,"20th floor, One Pacific Center, 414 Kwun Tong Road, Kwun Tong, Kowloon",None,VELO TALENT LIMITED,Kwun Tong District,info@velotalent.com,None,Office Staff / Executive Search,36118950,2019
49,"Room 20, 2nd floor, Hop Yick Commercial Centre, 33 Hop Choi Street, Yuen Long, New Territories",None,AAMA CONSULTANCY,Yuen Long District,raj.latinoprince@gmail.com,None,Foreign Domestic Helpers,64284188,2019
50,"14th floor, China Hong Kong Tower, 8 Hennessy Road, Wan Chai, Hong Kong",None,McGregor Boyall Associates (HK) Limited,Wan Chai District,will.probert@zzzzip.com,30208820,Office Staff / Executive Search,31242838,2019
51,"Flat E, 8th floor, East South Building, 475-481 Hennessy Road, Causeway Bay, Hong Kong",None,CHANDRA & PARTNER LIMITED,Wan Chai District,chandranpartner@gmail.com,28937978,Foreign Domestic Helpers,28939989,2019
52,"Unit 1, 12th floor, Ocean Building, 80 Shanghai Street, Jordan, Kowloon",None,"ASHLEY, BROOKES & COLEMAN LIMITED",Yau Tsim Mong District,recruit01@ashley-bc.com,None,Office Staff / Executive Search,39077602,2019
53,"Flat 2302, 23rd floor, New World Tower I, 18 Queen's Road Central, Central, Hong Kong",None,Pride's Recruitment Limited,Central and Western District,info@pridesrecruitment.com,None,Office Staff / Executive Search,38997254,2019
54,"Room 1901, 19th floor, Workingport Commercial Building, 3 Hau Fook Street, Tsim Sha Tsui, Kowloon",None,RESEARCH SERVICES LIMITED,Yau Tsim Mong District,mark@researchsv.com,None,Office Staff / Executive Search,91884231,2019
55,"Room 7B, 7th floor, One Capital Place, 18 Luard Road, Wan Chai, Hong Kong",None,ELEVATE HUMAN CAPITAL,Wan Chai District,info@elevatehumancapital.com,,Office Staff / Executive Search,6628 1827,2019
56,"Unit 927, 9th floor, BOC Group Life Assurance Tower, 134-136 Des Voeux Road Central, Central, Hong Kong",None,CrossWise Recruitment Limited,Central and Western District,info@crosswise-recruitment.com,None,Office Staff / Executive Search,28682988,2019
57,"11th floor, V Heun Building, 138 Queen's Road Central, Central, Hong Kong",None,Flow State Recruitment Limited,Central and Western District,simon@flowstaterecruitment.com.hk,None,Office Staff / Executive Search,37035115,2019
58,"Ground floor, Sun House, 181 Des Voeux Road Central, Sheung Wan, Hong Kong",None,EMA PARTNERS BURKE ASSOCIATES,Central and Western District,info@ema-partners.com,None,Office Staff / Executive Search,28873070,2019
59,"1st floor, MW Tower II, 5 Kimberley Street, Tsim Sha Tsui, Kowloon",None,Hire Partners Limited,Yau Tsim Mong District,enquiry@hirepartners.co,None,Office Staff / Executive Search,95224997,2019
60,"Suite 610, 6th floor, Ocean Centre, 5 Canton Road, Tsim Sha Tsui, Kowloon",None,KOS Solutions Limited,Yau Tsim Mong District,account@kos-intl.com,31804999,Office Staff / Executive Search,31804988,2019
61,"Unit 515, 5th floor, Tower B, New Mandarin Plaza, No. 14 Science Museum Road, Tsim Sha Tsui, Kowloon",None,Korchina Human Network Limited,Yau Tsim Mong District,joshuattw@korchinafnb.com,36282738,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search",36282711,2019
62,"Room 912, 9th floor, Melbourne Plaza, 33 Queen's Road Central, Central, Hong Kong",None,Okay Healthcare Limited,Central and Western District,ada.yu@okcare.com.hk,25258737,Other Non-office Worker,25258486,2019
63,"Room B, 10th floor, Lee May Building, 788-790 Nathan Road, Mong Kok, Kowloon",None,MAKA EMPLOYMENT AGENCY,Yau Tsim Mong District,admin@maka-employment.com,None,Foreign Domestic Helpers,57933008,2019
64,"2nd floor, Spaces AXA Southside, 38 Wong Chuk Hang Road, Aberdeen, Hong Kong",None,Conduit Search Limited,Southern District,a.bell@conduit-search.com,None,Office Staff / Executive Search,92218609,2019
65,"3rd floor, Eton Tower, 8 Hysan Avenue, Causeway Bay, Hong Kong",None,AXclusive Recruitment Limited,Wan Chai District,info@axclusive.com.hk,None,Office Staff / Executive Search,54881228,2019
66,"Room 415E, 4th floor, Tower A, Hung Hom Commercial Centre, 39 Ma Tau Wai Road, Hung Hom, Kowloon",None,Adler Superior Consultants Limited,Kowloon City District,cv@adlersuperior.com,None,Office Staff / Executive Search,3105 9827,2019
67,"Room 2310, 23rd floor, Dominion Centre, 43-59 Queen's Road East, Wan Chai, Hong Kong",None,ADVANCE FINANCIAL MANAGEMENT LIMITED,Wan Chai District,management@afmsearch.com,None,Office Staff / Executive Search,81753677,2020
68,"Unit 3, 25th floor, Kimberland Center, 55 Wing Hong Street, Cheung Sha Wan, Kowloon",None,REDIN INTERNATIONAL LIMITED,Sham Shui Po District,None,None,Office Staff / Executive Search,None,2020
69,"Unit 2001, 20th floor, Nexxus Building, 41 Connaught Road Central, Central, Hong Kong",None,WALTERS PEOPLE (HK),Central and Western District,hongkong@robertwalters.com,21035301,Office Staff / Executive Search,21619488,2020
70,"Room 1801, Flat A, 1st floor, Hop Lung Factory Building, 1 Mong Lung Street, Shau Kei Wan, Hong Kong",None,BRIGHT TIME (HONG KONG) LIMITED,Eastern District,clwwong@hotmail.com,28851639,Office Staff / Executive Search,28132025,2019
71,"Unit 2214, 22nd floor, Mira Place Tower A, 132 Nathan Road, Tsim Sha Tsui, Kowloon",None,King Lego Consultancy,Yau Tsim Mong District,admin@kinglego.com,None,Office Staff / Executive Search,60862430,2019
72,"Room 1104, 11th floor, Crawford House, 70 Queen's Road Central, Central, Hong Kong",None,YORK AND BROMLEY,Central and Western District,hello@yorkandbromley.com,None,Office Staff / Executive Search,25086686,2019
73,"Unit 12, 21st floor, Wayson Commercial Building, 28 Connaught Road West, Sheung Wan, Hong Kong",None,Allegiance Consulting Group Limited,Central and Western District,LOUIS@ALLEGIANCECG.COM,None,Office Staff / Executive Search,35989701,2020
74,"Room 2310, 23rd floor, Dominion Centre, 43-59 Queen's Road East, Wan Chai, Hong Kong",None,THE EXECUTIVES,Wan Chai District,KATE@HKEXEC.COM,None,Office Staff / Executive Search,81207283,2020
75,"Office E, 25th floor, King Palace Plaza, 55 King Yip Street, Kwun Tong, Kowloon",None,Triple Point Consulting Limited,Kwun Tong District,paul.loo@triplepointconsult.com,None,Office Staff / Executive Search,92626031,2019
76,"17th floor, Amber Commercial Building, 70-74 Morrison Hill Road, Causeway Bay, Hong Kong",None,J Queen Limited,Wan Chai District,None,25418476,"Local Domestic Helpers, Foreign Domestic Helpers, Imported Worker",25418389,2020
77,"Room 7B, 7th floor, One Capital Place, 18 Luard Road, Wan Chai, Hong Kong",None,TALENTOMNI,Wan Chai District,JKCHAN@MEDIOMNI.COM,None,"Office Staff / Executive Search, Other Non-office Worker",70720316,2020
78,"Room 1104, 11th floor, Crawford House, 70 Queen's Road Central, Central, Hong Kong",None,The Life-solvers Company,Central and Western District,adrianfhau@thelifesolversgroup.com,,"Office Staff / Executive Search, Other Non-office Worker",98336422,2020
79,"8th floor, Green 18, 18 Science Park East Avenue, HK Science Park, Shatin, New Territories",None,LIASE Group Limited,Sha Tin District,schow@hcp-china.com/ adminhk@hcp-china.com,,Office Staff / Executive Search,28400406,2020
80,"Room 34, 4th floor, Beverley Commercial Centre, 87-105 Chatham Road South, Tsim Sha Tsui, Kowloon",None,Intellion Partners Limited,Yau Tsim Mong District,Intellionpartners@gmail.com,None,Office Staff / Executive Search,None,2020
81,"Room 3202, 32nd floor, Tower II, Lippo Centre, 89 Queensway, Admiralty, Hong Kong",None,PHS (China) Limited,Central and Western District,eylci@netvigator.com,25249919,Office Staff / Executive Search,25249406,2020
82,"Room 2108, 21st floor, Exchange Tower, 33 Wang Chiu Road, Kowloon Bay, Kowloon",None,OpenHR HK Limited,Kwun Tong District,parco.tong@openhr.io,None,"Office Staff / Executive Search, Imported Worker",37088371,2020
83,"9th floor, The Wave, 4 Hing Yip Street, Kwun Tong, Kowloon",None,Glimmer Recruitment Hong Kong Limited,Kwun Tong District,syu@glimmerrecruitment.com,None,Office Staff / Executive Search,60960971 / 39979811,2020
84,"Unit 2214, 22nd floor, Mira Place Tower A, 132 Nathan Road, Tsim Sha Tsui, Kowloon",None,Infinitech Solutions Limited,Yau Tsim Mong District,recruitment@infinitech-solutions.com,None,Office Staff / Executive Search,21274219/ 39029601,2020
85,"The Hive, 14th floor, Manning House, 38-48 Queen's Road Central, Central, Hong Kong",None,Clarrow Hong Kong Limited,Central and Western District,chris.ingham@clarrow.hk,None,Office Staff / Executive Search,61924555,2020
86,"Unit 2C, 2 Wai Hon Road, Fanling, New Territories",None,FULL JOYOUS EMPLOYMENT AGENCY,North District,None,26618898,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search, Imported Worker, Other Non-office Worker",98293136,2020
87,"Flat 344, 4th floor, Block A, Cheong Ip Building, Hennessy Road, Wan Chai, Hong Kong",None,THE CAREER DESK,Wan Chai District,LEON_WU@ME.COM,None,Office Staff / Executive Search,55644138,2020
88,"17th floor, Tesbury Centre, 28 Queen's Road East, Wan Chai, Hong Kong",None,THE JOBS LABORATORY LIMITED,Wan Chai District,info@jobslab.io,None,Office Staff / Executive Search,None,2020
89,"20th floor, Leighton Centre, 77 Leighton Road, Causeway Bay, Hong Kong",None,INVICTUS ALLIANCE LIMITED,Wan Chai District,chungyeung@invictus-alliance.com,None,Office Staff / Executive Search,29614686 / 97549099,2020
90,"Room 109, 1st floor, Block 2, Fu Tor Loy Sun Chuen, 73 Anchor Street, Tai Kok Tsui, Kowloon",None,E & S EMPLOYMENT AGENCY,Yau Tsim Mong District,emilylau2004@yahoo.com.hk,None,Foreign Domestic Helpers,51820933,2020
91,"4th floor, Shun Pont Commercial Building, 5-11 Thomson Road, Wan Chai, Hong Kong",None,LEI FU EMPLOYMENT COMPANY,Wan Chai District,nitschkeemployment@gmail.com,None,Foreign Domestic Helpers,28510281,2020
92,"183 Jade Villa, Ngau Liu, Chuk Yeung Road, Sai Kung, New Territories",None,HOSPITALITY BREAKTHROUGHS,Sai Kung District,markhkeith@gmail.com,None,Other Non-office Worker,91991768,2020
93,"Flat F, 20th floor, Tower 6, Sorrento, Tsim Sha Tsui, Kowloon",None,DISCOVER SELECT,Yau Tsim Mong District,daryl@discoverselect.com,None,Office Staff / Executive Search,61459224,2020
94,"Flat C9, 20th floor, Mai Luen Industrial Building, 23-31 Kung Yip Street, Kwai Chung, New Territories",None,BAE AND PARTNERS LIMITED,Kwai Tsing District,ebae@baenpartners.com,37471369,Office Staff / Executive Search,21872428 / 21872429,2020
95,"Unit 8, 9th floor, Workingberg Commercial Building, 41-47 Marble Road, North Point, Hong Kong",None,CHI SHING EMPLOYMENT AGENCY,Eastern District,chishing2019@hotmail.com,34228873,"Local Domestic Helpers, Foreign Domestic Helpers",34228312,2020
96,"Workshop 12, 9th floor, Block B, Goldfield Industrial Centre, 1 Sui Wo Road, Fotan, Shatin, New Territories",None,Goprojects Hong Kong Limited,Sha Tin District,info@goprojects.hk,None,Other Non-office Worker,57444129,2020
97,"Room 812, 8th floor, Tower 1, Silvercord, 30 Canton Road, Tsim Sha Tsui, Kowloon",None,MOORE ASSOCIATES LIMITED,Yau Tsim Mong District,helentang@moore.hk,23753828,Office Staff / Executive Search,23753180,2020
98,"Room 609, 6th floor, Lee Garden Three, 1 Sunning Road, Causeway Bay, Hong Kong",None,Vision Hunt Limited,Wan Chai District,hino@vision-hunt.com,None,Office Staff / Executive Search,28082544,2020
99,"21st floor, The Workstation, 43 Lyndhurst Terrace, Central, Hong Kong",None,LOD Consulting (Hong Kong) Limited,Central and Western District,karishma.riddell@lodlaw.com,None,Office Staff / Executive Search,29967300,2020
100,"Flat C, 12th floor, Ko Kie Building, 9-11 Jordan Road, Yau Ma Tei, Kowloon",None,VENUS CHAN EMPLOYMENT AGENCY,Yau Tsim Mong District,ginpoweragency@gmail.com,None,Foreign Domestic Helpers,23888985,2020
101,"Shop 59, 1st floor, Pei Ho Building, 115-117 Fuk Wa Street, Sham Shui Po, Kowloon",None,Sentosa Company,Sham Shui Po District,sentosa_co@outlook.com,None,Foreign Domestic Helpers,63731877,2020
102,"Room 1002, 10th floor, Ovest, 77 Wing Lok Street, Sheung Wan, Hong Kong",None,ATRIUM HR CONSULTING (ASIA) LIMITED,Central and Western District,pparisi@atriumhr.com,28918925,"Office Staff / Executive Search, Other Non-office Worker",58087091,2020
103,"Level 10, BOC Group Life Assurance Tower, 134-136 Des Voeux Road Central, Central, Hong Kong",None,Funds Partnership Asia,Central and Western District,ayyaz@fundspartnership.com,None,Office Staff / Executive Search,34783956,2020
104,"2nd floor, Dah Sing Life Building, 99-105 Des Voeux Road Central, Central, Hong Kong",None,BENUK MANPOWER SUPPLY SERVICES,Central and Western District,sumcommunicationltd@yahoo.com,None,"Office Staff / Executive Search, Other Non-office Worker",60864745,2020
105,"Room 709, 7th floor, The Icon, 320-322 Kwun Tong Road, Kwun Tong, Kowloon",None,Bright Care Limited,Kwun Tong District,cs@bright-care.com,None,Office Staff / Executive Search,21264241,2020
106,"2nd floor, Eton Tower, 8 Hysan Avenue, Causeway Bay, Hong Kong",None,BRIGHTWAY EMPLOYMENT CENTRE,Wan Chai District,aleung.brightway@gmail.com,None,"Local Domestic Helpers, Foreign Domestic Helpers",31110368,2020
107,"Unit 606, 6th floor, Wayland C & I Building, 131-132 Connaught Road West, Sai Wan, Hong Kong",None,Tophand Consultancy Limited,Central and Western District,tophandemployment@gmail.com,None,Foreign Domestic Helpers,69328551,2020
108,"Suite 1008, 10th floor, Prosperity Millennia Plaza, 663 King's Road, Quarry Bay, Hong Kong",None,CareerPro Consulting Limited,Eastern District,info@careerpro.com.hk,37497890,Office Staff / Executive Search,37497891,2020
109,"Room 803-804, 8th floor, Seaview Commercial Building, 21-24 Connaught Road West, Sheung Wan, Hong Kong",None,PRESTWICK GROUP LIMITED,Central and Western District,rg@prestwicksearch.com,None,Office Staff / Executive Search,56626026,2020
110,"Block A, 7th floor, 56-60 Wan Chai Road, Wan Chai, Hong Kong",None,PALPALI EMPLOYMENT CONSULTANCY AGENCY,Wan Chai District,None,28977709,Foreign Domestic Helpers,28977709,2020
111,"16th floor, Wework LKF Tower, 33 Wyndham Street, Central, Hong Kong",None,ASTRAL,Central and Western District,None,None,Office Staff / Executive Search,30180388,2020
112,"16th floor, Wework LKF Tower, 33 Wyndham Street, Central, Hong Kong",None,OJ Consulting Limited,Central and Western District,None,None,Office Staff / Executive Search,30180388,2020
113,"Workshop F, 25th floor, Shield Industrial Centre, 84-92 Chai Wan Kok Street, Tsuen Wan, New Territories",None,Aline Company Limited,Tsuen Wan District,chacochu1321@gmail.com,23430208,"Office Staff / Executive Search, Imported Worker",23430202,2020
114,"Shop B69, 1st floor, Well On Shopping Arcade, Well On Garden, 9 Yuk Nga Lane, Tseung Kwan O, New Territories",None,HireMe Employment Agency Limited,Sai Kung District,evashum@homecareagency.com.hk,26739277,"Local Domestic Helpers, Foreign Domestic Helpers",91925079,2020
115,"Unit 140, Flat B, 1st floor, Hung Fuk Factory Building, 60 Hung To Road, Kwun Tong, Kowloon",None,CPL,Kwun Tong District,carson@choicepersonnelhk.com,None,Office Staff / Executive Search,93171327,2020
116,"Unit 1101, 11th floor, International Plaza, 20 Sheung Yuet Road, Kowloon Bay, Kowloon",None,Hostlink Events Holding Limited,Kwun Tong District,kennethkeung@hostlinkevents.com,23360598,Office Staff / Executive Search,25667875,2020
117,"Unit 702, 7th floor, The L. Plaza, 367-375 Queen's Road Central, Sheung Wan, Hong Kong",None,Queues Limited,Central and Western District,hirotake@queues.hk,None,Office Staff / Executive Search,51726295,2020
118,"Room 7B, 7th floor, One Capital Place, 18 Luard Road, Wan Chai, Hong Kong",None,AKV Limited,Wan Chai District,None,35855001,Office Staff / Executive Search,21159252,2020
119,"14th floor, Sing Ho Finance Building, 166-168 Gloucester Road, Wan Chai, Hong Kong",None,FUSE Recruitment Limited,Wan Chai District,info@fuse-recruitment.com,None,"Office Staff / Executive Search, Other Non-office Worker",60121652,2020
120,"26th floor, Two Harbour Square, 180 Wai Yip Street, Kwun Tong, Kowloon",None,Wesmile.com.hk,Kwun Tong District,april.wong@wesmile.com.hk,None,Office Staff / Executive Search,52382882,2020
121,"Room 1702, 17th floor, On Hong Commercial Building, 145 Hennessy Road, Wanchai, Hong Kong",None,AMARIS CONSULTING,Wan Chai District,contact@octav.law,None,"Office Staff / Executive Search, Imported Worker",27110908,2020
122,"Suite 2602-03, 26th floor, BEA Tower, Millennium City 5, 418 Kwun Tong Road, Kwun Tong, Kowloon",None,TAF Consultancy Limited,Kwun Tong District,info@tafconsultancy.com,39503480,Office Staff / Executive Search,37254811,2020
123,"Room B, 19th floor, Max Share Centre, 373 King's Road, North Point, Hong Kong",None,THE MANAGEMENT & SEARCH CONSULTING GROUP LIMITED,Eastern District,nicolali@mscgrp.com,None,Office Staff / Executive Search,21523868,2020
